NodeCount,ArcCount,Objective,Repetition,Status,ProblemCode,SolverInfo,StarterProcessId,WorkerProcessId,StarterWorkerPidMatch,WorkerPidConfirmedByResult,MonitoringAttached,MonitoringSource,StarterExitCode,WorkerExitCode,SamplingPeriod_s,MemorySamples_ModelPlusSolve,MemorySamples_Optimize,BaselineBeforeModelWorkingSet_MB,BaselineBeforeModelPrivateMemory_MB,BaselineBeforeOptimizeWorkingSet_MB,BaselineBeforeOptimizePrivateMemory_MB,SampledPeakModelPlusSolveWorkingSet_MB,SampledPeakModelPlusSolvePrivateMemory_MB,SampledPeakOptimizeWorkingSet_MB,SampledPeakOptimizePrivateMemory_MB,PeakModelPlusSolveWorkingSet_MB,PeakModelPlusSolvePrivateMemory_MB,PeakOptimizeWorkingSet_MB,PeakOptimizePrivateMemory_MB,AdditionalPeakWorkingSet_MB,AdditionalPeakPrivateMemory_MB,AdditionalModelPlusSolveWorkingSet_MB,AdditionalModelPlusSolvePrivateMemory_MB,MemoryMeasurementValid,MemoryMeasurementNote,SolverTime_s,YALMIPTime_s,OptimizeWallTime_s,RelativeGap_percent,AbsoluteGap,ApproxBinaryVariables,ApproxContinuousVariables,ErrorMessage
10,15,distance,10,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),16592,7372,0,1,1,worker-reported-pid,0,NaN,0.05,64,13,508.734375,409.86328125,657.28515625,521.2890625,730.1796875,587.1171875,730.1796875,587.1171875,730.1796875,587.1171875,730.1796875,587.1171875,72.89453125,65.828125,221.4453125,177.25390625,1,OK,0.3083961,0.487603899999999,0.8109024,0,0,11630,1020,
10,15,distance,11,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),23896,33272,0,1,1,worker-reported-pid,0,NaN,0.05,137,31,508.12890625,412.171875,655.03515625,518.86328125,728.05078125,584.91796875,728.05078125,584.91796875,728.05078125,584.91796875,728.05078125,584.91796875,73.015625,66.0546875,219.921875,172.74609375,1,OK,0.4877218,1.4262782,1.9418424,0,0,11630,1020,
10,15,distance,12,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),24016,4728,0,1,1,worker-reported-pid,0,NaN,0.05,132,31,509.6328125,411.92578125,657.2109375,521.2734375,730.63671875,587.2890625,730.63671875,587.2890625,730.63671875,587.2890625,730.63671875,587.2890625,73.42578125,66.015625,221.00390625,175.36328125,1,OK,0.4994045,1.3505955,1.8770604,0,0,11630,1020,
10,15,distance,13,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),18260,6776,0,1,1,worker-reported-pid,0,NaN,0.05,139,30,508.21875,407.3203125,657.359375,521.234375,730.81640625,587.5,730.81640625,587.5,730.81640625,587.5,730.81640625,587.5,73.45703125,66.265625,222.59765625,180.1796875,1,OK,0.5170628,1.3259372,1.8688455,0,0,11630,1020,
10,15,distance,14,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33452,32120,0,1,1,worker-reported-pid,0,NaN,0.05,131,30,506.75,406.09765625,657.79296875,522.5625,730.46484375,588.14453125,730.46484375,588.14453125,730.46484375,588.14453125,730.46484375,588.14453125,72.671875,65.58203125,223.71484375,182.046875,1,OK,0.5009833,1.3570167,1.8834037,0,0,11630,1020,
10,15,distance,15,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),27272,34392,0,1,1,worker-reported-pid,0,NaN,0.05,64,13,507.7421875,409.90234375,657.19921875,520.66796875,729.359375,585.73046875,729.359375,585.73046875,729.359375,585.73046875,729.359375,585.73046875,72.16015625,65.0625,221.6171875,175.828125,1,OK,0.2946494,0.5033506,0.812125,0,0,11630,1020,
10,15,distance,16,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),14640,3452,0,1,1,worker-reported-pid,0,NaN,0.05,63,13,510.1875,410.4453125,655.4140625,519.3671875,729.625,586.45703125,729.625,586.45703125,729.625,586.45703125,729.625,586.45703125,74.2109375,67.08984375,219.4375,176.01171875,1,OK,0.2850043,0.478995700000003,0.7778167,0,0,11630,1020,
10,15,distance,17,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33816,31776,0,1,1,worker-reported-pid,0,NaN,0.05,139,30,508.01171875,409.40625,656.18359375,519.5234375,730.015625,586.12109375,730.015625,586.12109375,730.015625,586.12109375,730.015625,586.12109375,73.83203125,66.59765625,222.00390625,176.71484375,1,OK,0.5083144,1.3406856,1.8736337,0,0,11630,1020,
10,15,distance,18,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),6124,31500,0,1,1,worker-reported-pid,0,NaN,0.05,159,32,507.64453125,408.0703125,657.80859375,521.875,730.55078125,587.453125,730.55078125,587.453125,730.55078125,587.453125,730.55078125,587.453125,72.7421875,65.578125,222.90625,179.3828125,1,OK,0.5403157,1.4366843,2.0035314,0,0,11630,1020,
10,15,distance,19,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),12564,32968,0,1,1,worker-reported-pid,0,NaN,0.05,152,31,506.9609375,408.72265625,657.0078125,520.8515625,731.2578125,587.64453125,731.2578125,587.64453125,731.2578125,587.64453125,731.2578125,587.64453125,74.25,66.79296875,224.296875,178.921875,1,OK,0.5132822,1.3727178,1.9142826,0,0,11630,1020,
10,15,distance,20,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),28044,540,0,1,1,worker-reported-pid,0,NaN,0.05,124,13,508,406.37109375,657.7734375,520.70703125,729.9921875,586.61328125,729.9921875,586.61328125,729.9921875,586.61328125,729.9921875,586.61328125,72.21875,65.90625,221.9921875,180.2421875,1,OK,0.2868167,0.523183299999995,0.8244915,0,0,11630,1020,
10,15,energy,1,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),8268,19048,0,1,1,worker-reported-pid,0,NaN,0.05,141,32,510.66015625,414.64453125,658.6953125,523.33203125,737.58984375,595.8125,737.58984375,595.8125,737.58984375,595.8125,737.58984375,595.8125,78.89453125,72.48046875,226.9296875,181.16796875,1,OK,0.6279528,1.3220472,1.9797258,0,0,11630,1020,
10,15,energy,2,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),2652,30800,0,1,1,worker-reported-pid,0,NaN,0.05,63,14,506.97265625,407.56640625,656.171875,519.82421875,735.9375,592.9921875,735.9375,592.9921875,735.9375,592.9921875,735.9375,592.9921875,79.765625,73.16796875,228.96484375,185.42578125,1,OK,0.3524041,0.470595899999993,0.8369407,0,0,11630,1020,
10,15,energy,3,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),23972,32836,0,1,1,worker-reported-pid,0,NaN,0.05,121,36,506.13671875,404.953125,657.5234375,521.31640625,736.58984375,594.10546875,736.58984375,594.10546875,736.58984375,594.10546875,736.58984375,594.10546875,79.06640625,72.7890625,230.453125,189.15234375,1,OK,0.6370177,1.5469823,2.2097588,0,0,11630,1020,
10,15,energy,4,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),8272,27288,0,1,1,worker-reported-pid,0,NaN,0.05,64,14,507.5703125,408.87109375,656.9921875,520.91015625,736.6171875,594.27734375,736.6171875,594.27734375,736.6171875,594.27734375,736.6171875,594.27734375,79.625,73.3671875,229.046875,185.40625,1,OK,0.3650413,0.481958699999994,0.8628759,0,0,11630,1020,
10,15,energy,5,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),6876,23624,0,1,1,worker-reported-pid,0,NaN,0.05,64,14,509.9609375,411.4140625,656.05859375,519.421875,737.171875,594.01171875,737.171875,594.01171875,737.171875,594.01171875,737.171875,594.01171875,81.11328125,74.58984375,227.2109375,182.59765625,1,OK,0.3669285,0.490071499999999,0.8705327,0,0,11630,1020,
10,15,energy,6,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),29676,30804,0,1,1,worker-reported-pid,0,NaN,0.05,64,14,506.4296875,409.98046875,657.1796875,521.3046875,736.19921875,593.65625,736.19921875,593.65625,736.19921875,593.65625,736.19921875,593.65625,79.01953125,72.3515625,229.76953125,183.67578125,1,OK,0.3602445,0.477755500000001,0.8546844,0,0,11630,1020,
10,15,energy,7,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),3896,30308,0,1,1,worker-reported-pid,0,NaN,0.05,63,14,506.26953125,404.94140625,658.7890625,522.74609375,737.38671875,595.01171875,737.38671875,595.01171875,737.38671875,595.01171875,737.38671875,595.01171875,78.59765625,72.265625,231.1171875,190.0703125,1,OK,0.3531881,0.489811900000004,0.8583321,0,0,11630,1020,
10,15,energy,8,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),24104,3568,0,1,1,worker-reported-pid,0,NaN,0.05,64,14,509.30859375,411.23046875,657.5703125,521.78515625,737.1796875,594.92578125,737.1796875,594.92578125,737.1796875,594.92578125,737.1796875,594.92578125,79.609375,73.140625,227.87109375,183.6953125,1,OK,0.3778815,0.484118500000002,0.8782933,0,0,11630,1020,
10,15,energy,9,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33700,4036,0,1,1,worker-reported-pid,0,NaN,0.05,60,13,508.109375,408.81640625,654.72265625,518.7578125,733.18359375,590.37109375,733.18359375,590.37109375,733.18359375,590.37109375,733.18359375,590.37109375,78.4609375,71.61328125,225.07421875,181.5546875,1,OK,0.3429536,0.464046400000002,0.8193411,0,0,11630,1020,
10,15,energy,10,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),2168,33768,0,1,1,worker-reported-pid,0,NaN,0.05,65,14,505.40234375,405.45703125,656.04296875,519.60546875,737.3125,594.234375,737.3125,594.234375,737.3125,594.234375,737.3125,594.234375,81.26953125,74.62890625,231.91015625,188.77734375,1,OK,0.3672607,0.4797393,0.8629285,0,0,11630,1020,
10,15,energy,11,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),15512,1548,0,1,1,worker-reported-pid,0,NaN,0.05,139,32,509.65234375,411.03125,658.36328125,522.09375,736.9296875,594.04296875,736.9296875,594.04296875,736.9296875,594.04296875,736.9296875,594.04296875,78.56640625,71.94921875,227.27734375,183.01171875,1,OK,0.6242699,1.3747301,2.0263497,0,0,11630,1020,
10,15,energy,12,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33360,15372,0,1,1,worker-reported-pid,0,NaN,0.05,59,13,507.34375,406.21484375,655.3671875,519.29296875,734.5234375,591.76953125,734.5234375,591.76953125,734.5234375,591.76953125,734.5234375,591.76953125,79.15625,72.4765625,227.1796875,185.5546875,1,OK,0.3683454,0.459654599999996,0.8426638,0,0,11630,1020,
10,15,energy,13,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),27224,33500,0,1,1,worker-reported-pid,0,NaN,0.05,135,33,506.703125,403.359375,657.375,521.69140625,736.57421875,594.11328125,736.57421875,594.11328125,736.57421875,594.11328125,736.57421875,594.11328125,79.19921875,72.421875,229.87109375,190.75390625,1,OK,0.6606586,1.3613414,2.0520772,0,0,11630,1020,
10,15,energy,14,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),8316,520,0,1,1,worker-reported-pid,0,NaN,0.05,138,33,510.78515625,409.41796875,657.9375,522.328125,735.79296875,593.51953125,735.79296875,593.51953125,735.79296875,593.51953125,735.79296875,593.51953125,77.85546875,71.19140625,225.0078125,184.1015625,1,OK,0.6590233,1.3899767,2.0761283,0,0,11630,1020,
10,15,energy,15,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),580,16560,0,1,1,worker-reported-pid,0,NaN,0.05,65,14,506.75,407.46875,657.2734375,521.8515625,735.92578125,594.16015625,735.92578125,594.16015625,735.92578125,594.16015625,735.92578125,594.16015625,78.65234375,72.30859375,229.17578125,186.69140625,1,OK,0.357509,0.479490999999996,0.8527813,0,0,11630,1020,
10,15,energy,16,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),34336,7992,0,1,1,worker-reported-pid,0,NaN,0.05,64,14,507.33984375,409.75390625,656.09375,520.3046875,735.20703125,592.44921875,735.20703125,592.44921875,735.20703125,592.44921875,735.20703125,592.44921875,79.11328125,72.14453125,227.8671875,182.6953125,1,OK,0.3636626,0.4763374,0.8559059,0,0,11630,1020,
10,15,energy,17,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),8176,28172,0,1,1,worker-reported-pid,0,NaN,0.05,124,32,507,404.515625,659.2578125,522.91796875,737.53125,595.01171875,737.53125,595.01171875,737.53125,595.01171875,737.53125,595.01171875,78.2734375,72.09375,230.53125,190.49609375,1,OK,0.6214367,1.3485633,1.9960997,0,0,11630,1020,
10,15,energy,18,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),4916,19128,0,1,1,worker-reported-pid,0,NaN,0.05,130,32,507.88671875,409.375,656.7109375,520.64453125,737.18359375,594.59375,737.18359375,594.59375,737.18359375,594.59375,737.18359375,594.59375,80.47265625,73.94921875,229.296875,185.21875,1,OK,0.6238789,1.3541211,2.002031,0,0,11630,1020,
10,15,energy,19,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),31832,30564,0,1,1,worker-reported-pid,0,NaN,0.05,65,14,505.484375,404.72265625,655.14453125,519.6640625,733.2734375,591.22265625,733.2734375,591.22265625,733.2734375,591.22265625,733.2734375,591.22265625,78.12890625,71.55859375,227.7890625,186.5,1,OK,0.3645264,0.518473599999999,0.9000866,0,0,11630,1020,
10,15,energy,20,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33188,21496,0,1,1,worker-reported-pid,0,NaN,0.05,135,31,510.96484375,412.35546875,660.34375,523.9921875,738.76953125,596.15234375,738.76953125,596.15234375,738.76953125,596.15234375,738.76953125,596.15234375,78.42578125,72.16015625,227.8046875,183.796875,1,OK,0.6127227,1.3182773,1.9593672,0,0,11630,1020,
